;Titolo;Autore;Casa Editrice;Cassetta
219;Educazione e politica nel Mezzogiorno d’Italia (1767-1860);Broccoli Angelo;La nuova Italia Editrice;7
159;Elegie Scelte;Ovidio;Avia Pervia;3
178;Eneide Libro 11;Virgilio;;
174;Eneide Libro 4;Virgilio;;
175;Eneide Libro 4;Virgilio;;
190;Eneide Libro 7;Virgilio;Ciranna & Ferrara;6
168;Eneide Libro 7;Virgilio;;
169;Eneide Libro 7;Virgilio;;
193;Eneide Libro 8;Virgilio;Ciranna & Ferrara;6
309;Eneide Libro 8;Virgilio;Ciranna;9
188;Eneide Libro 8;Virgilio;Ciranna & Ferrara;
274;Epistole Libro 2;Orazio;Avia Pervia;9
218;Europa nazionalismi guerra;Maniscalco Maria Luisa;Armando Editore;7
249;Falsa partenza e altri racconti;Doyle Arthur Conan;Il Sole 24 Ore;8
27;Figli e amanti;Lawrence;Newton;2
42;Finanza internazionale e stato;Feis Herbert;ETAS;2
70;Fotografie;;Grafica Cosentina;
51;From Orwell to Naipul;Ford Borus;Penguin Books;2
63;Gatta gatta;Bianchi;;
133;Giotto;Zeri;Rizzoli;
65;Giuseppe e Maria: un dramma;Turrini;;
44;Gli emigrati vittoriosi;Rolle Andrew F.;BUR;2
33;Guerra e darwinismo sociale;La Vergata Antonello;Rubettino;2
107;Guerra e darwinismo sociale;La Vergata;Rubettino;3
316;Guida agli stili architettonici;Vergara Lino - Tommasella Giuseppe M. D.;De Vecchi editore;
226;Guida dei pesci d’acqua dolce;Muus Bent J. - Dahlström Preben;Edagricole;7
234;Herman Hesse;Cusatelli Giorgio - Hesse Heiner;Edizioni Studio Tesi;7
15;History of English literature;Muschio Carla;Ciranna & Ferrara;1
157;I capolavori di Eduardo;De Filippo Eduardo;Einaudi;3
102;I capolavori di Eduardo;;Einaudi;
291;I fasti;Nasone P. Ovidio;Avia Pervia;9
49;I pantaloni di Pitagora;Wertheim;;Giada
86;I ragazzi;Wharton;;
222;I sotterranei del Vaticano;Gide André;Newton;7
155;Ifigenia in aulide;Euripide;Ciranna & Ferrara;3
201;Ifigenia in Tauride;Goethe;Garzanti;7
255;Il 9 scomparso;Pastorin Darwin;Edizioni EL;8
246;Il berretto di cuoio e altri racconti;Soldati Mario;Il Sole 24 Ore;8
68;Il biglietto da un milione di sterline;Twain;;
98;Il cielo nascosto;Prete;;
81;Il codice per l’esame di stato di economia aziendale;;Simone;
32;Il comunista gentiluomo;De Paola Luigi;Gruppo Regionale Partito dei Comunisti Italiani;2
145;Il diavolo in corpo;Radiguet Raymond;Newton;3
38;Il dissenso liberale;Franchini Raffaello;Sansoni;2
93;Il fu Mattia Pascal;Pirandello;;
10;Il giorno della civetta;Sciascia Leonardo;Fabbri;1
242;Il grande cacciatore;D’Amicis Carlo;Duepunti edizioni;
207;Il grande spettacolo del cielo;Bersanelli Marco;Sperling & Kupfer;7
143;Il grillo del focolare;Dickens Charles;Newton;3
124;Il lavoro sul fronte dei porti;Della Corte Elisabetta;Rubettino;3
129;Il libro dei segni e simboli;Schwarz, Windklhofer, Biedermann;;Fragolao
198;Il libro XXVII delle storie;Tito Livio;Società editrice Dante Alighieri;6
199;Il libro XXVIII delle storie;Tito Livio;Società editrice Dante Alighieri;6
195;Il libro XXXVII delle storie;Tito Livio;Società editrice Dante Alighieri;6
217;Il maestro e Margherita;Bulgakov Mikhail;Newton;7
88;Il mago;Maugham;;
146;Il manichino tragico;von Arnim Ludwig Achim;Editori Riuniti;3
310;Il manifesto di Ventotene;Spinelli Altiero - Rossi Ernesto;Corriere della Sera;9
18;Il manuale del delegato Rsu;Sciotto Giorgio;Valore scuola;1
152;Il mercante di Venezia;Shakespeare William;Newton;3
221;Il monaco nero e altri racconti;Cechov Anton P.;Il Sole 24 Ore;7
85;Il mondo perduto: la valle dei dinosaursi;Doyle;;
163;Il palatino;Romanelli P.;Istituto poligrafico dello stato;3
149;Il patto col fantasma;Dickens Charles;Newton;3
296;Il poema della natura Libro 1;Caro T. Lucrezio;Avia Pervia;9
277;Il poema della natura Libro 2;Lucrezio;Avia Pervia;9
278;Il poema della natura Libro 6;Lucrezio;Avia Pervia;9
243;Il ponte galleggiante, Ortiche;Munro Alice;Il Sole 24 Ore;8
90;Il posto del buio;Koontz;;
121;Il respiro dell’orso bianco;De Simone;;
46;Il rosso e il nero;Stendhal;;
83;Il saccheggiatore di relitti;Stevenson;;
50;Il secondo libro della giungla;Kipling Rudyard;Gherardo casini;2
264;Il secondo trattato sul governo;Locke John;Corriere della Sera;8
125;Il servizio civile nazionale;Arci;;
26;Il sistema di accoglienza in Italia;Avallone Gennaro;Orthotes;2
253;Il sottotenente Gustl;Schnitzler Arthur;Il Sole 24 Ore;8
176;Inferno;Alighieri;;
187;Inferno;Alighieri;;
118;Interviste e questionari nella ricerca sociale applicata;Guala;;
57;Introduzione alla storia delle religioni;Brelich;;
53;Introduzione allo studio della geografia economica applicata;Battistella;;
208;Ivanhoe;Scott Walter;Newton;7
215;Jurassic Park;Crichton Michael;Teadue;7
21;L’adolescente tra crescita e crisi;La Moglie;;1
141;L’agente segreto;Conrad Joseph;Newton;3
224;L’altra Europa;Galasso Giuseppe;Oscar studio Mondadori;7
11;L’angelo azzurro;Mann Heinrich;Newton;1
55;L’assassinio di via belpoggio;Svevo;;
259;L’esperimento;Nilsson Eleanor;Edizioni EL;8
76;L’età dell’acqua;Lombardi;;
162;L’inferno;Custarelli Andrea - Beltrani Pietro;Carlo Signorelli Editore;3
82;L’inondazione;Bravi;;
66;L’uomo che amava le isole e L’uomo che era morto;Lawrence;;
106;La ballata del vecchio marinaio e altre poesie;Coleridge;Tea;3
147;La battaglia della vita;Dickens Charles;Newton;3
244;La bestia nella giungla;Henry James;Il Sole 24 Ore;8
30;La Calabria verso il futuro vol. 4;Costabile Michele;Meridiana;2
262;La casa stregata;Lovecraft H. P.;Newton;8
91;La chartreuse de Parme;Stendhal;;
311;La destra la sinistra la chiesa;Senesi Vauro;Manifestolibri;9
36;La dismissione;Rea Ermanno;BUR;2
282;La fanciulla d’Andro;Afro P. Terenzio;Avia Pervia;9
142;La figlia di Giulietta e Romeo;Principalli La Jacona Maria;Editrice nuovi autori;3
298;La Germania;Tacito C.;Avia Pervia;9
279;La guerra gallica Libro 5;Cesare Giulio;Avia Pervia;9
